# vb2Py Autotest results
0, 0, 0
1, 0, 1
2, 0, 2
4, 0, 4
6, 0, 6
10, 0, 10
25, 0, 25
1, 1, 0
2, 1, 1
3, 1, 2
5, 1, 4
7, 1, 6
11, 1, 10
26, 1, 25
2, 2, 0
3, 2, 1
4, 2, 2
6, 2, 4
8, 2, 6
12, 2, 10
27, 2, 25
4, 4, 0
5, 4, 1
6, 4, 2
8, 4, 4
10, 4, 6
14, 4, 10
29, 4, 25
6, 6, 0
7, 6, 1
8, 6, 2
10, 6, 4
12, 6, 6
16, 6, 10
31, 6, 25
10, 10, 0
11, 10, 1
12, 10, 2
14, 10, 4
16, 10, 6
20, 10, 10
35, 10, 25
25, 25, 0
26, 25, 1
27, 25, 2
29, 25, 4
31, 25, 6
35, 25, 10
50, 25, 25
